"","Player","Round","Result","Opponent","sth","Standing","PlayerDeck","OpponentDeck","tournament"
"8151","Wolfstochter","1","LOSS","FuryofStorm",NA,"8-3-0","Pikachu ex Electrode","Mewtwo ex Gardevoir","blueditto"
"8161","Mantelnor","2","LOSS","Daddycheeks",NA,"2-3-0drop","Golem Primeape","Starmie ex Greninja","blueditto"
"8171","Mantelnor","1","LOSS","Pocket_Deuces",NA,"3-0-0drop","Golem Primeape","Exeggutor ex Venusaur ex","blueditto"
"8181","Mr_Moose","1","LOSS","crynimar",NA,"6-4-0","Articuno ex","Pikachu ex Zebstrika","blueditto"
"8191","HKANG","2","LOSS","KatsuJinCard",NA,"5-4-0","Pikachu ex Zebstrika","Mewtwo ex Gardevoir","blueditto"
"8201","HKANG","1","LOSS","Drayke",NA,"7-3-0","Pikachu ex Zebstrika","Pikachu ex Zebstrika","blueditto"
"8211","Lizardon37","2","LOSS","Pingu_Tsai",NA,"6-3-0","Dragonite Meowth","Pikachu ex Zapdos ex","blueditto"
"8221","Lizardon37","1","LOSS","FreckZ",NA,"4-3-0drop","Dragonite Meowth","Pikachu ex Zapdos ex","blueditto"
"8231","Kartenkumpel","2","LOSS","Xeloo",NA,"9-4-0","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex","blueditto"
"8241","Kartenkumpel","1","LOSS","Altkyle",NA,"4-3-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","blueditto"
"825","Oswald_itendswald","2","LOSS","PeachSLP",NA,"3-4-0drop","Articuno ex Lapras ex","Mewtwo ex Gardevoir","blueditto"
"8261","Oswald_itendswald","1","LOSS","jlnguyen54",NA,"8-3-0","Articuno ex Lapras ex","Articuno ex","blueditto"
"8271","arcv2","2","LOSS","Josh Frink",NA,"6-3-0","Wigglytuff ex Weezing","Mewtwo ex Gardevoir","blueditto"
"8281","arcv2","1","LOSS","namme",NA,"4-4-0drop","Wigglytuff ex Weezing","Lapras ex Starmie ex","blueditto"
"8291","Azelf","1","LOSS","xCosmicNova",NA,"5-4-0","Mewtwo ex Gardevoir","Articuno ex Greninja","blueditto"
"8301","Slax06","2","LOSS","Cheskyzz",NA,"4-3-0drop","Articuno ex","Greninja Kingler","blueditto"
"8311","Slax06","1","LOSS","porksandwich",NA,"1-1-0drop","Articuno ex","Mewtwo ex Gardevoir","blueditto"
"8321","Enrique A","2","LOSS","Birikinn",NA,"4-4-0drop","Pikachu ex Electrode","Articuno ex Starmie ex","blueditto"
"8331","Enrique A","1","LOSS","RavsJK",NA,"5-4-0","Pikachu ex Electrode","Starmie ex Greninja","blueditto"
"8341","santymcgoob","3","LOSS","kn0w",NA,"1-4-0drop","Pikachu ex Raichu","Lapras ex Starmie ex","blueditto"
"8351","santymcgoob","2","LOSS","Cello",NA,"6-3-0","Pikachu ex Raichu","Charizard ex Moltres ex","blueditto"
"8361","santymcgoob","1","LOSS","Sigphale",NA,"6-3-0","Pikachu ex Raichu","Pikachu ex Zapdos ex","blueditto"
"8371","DillonsDex","1","LOSS","BiterLife",NA,"4-4-0drop","Machamp ex Marowak ex","Mewtwo ex Gardevoir","blueditto"
"8381","Abe","3","LOSS","StayySuper",NA,"6-3-0","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir","blueditto"
"8391","Abe","2","LOSS","R1nneganTCG",NA,"2-4-0drop","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir","blueditto"
"8421","QuebraNozes","3","LOSS","Bunni",NA,"2-4-0drop","Marowak ex Primeape","Pikachu ex Electrode","blueditto"
"8431","QuebraNozes","2","LOSS","KS T",NA,"4-2-1drop","Marowak ex Primeape","Starmie ex Greninja","blueditto"
"8441","QuebraNozes","1","LOSS","TF Richard Ruiz",NA,"6-4-0","Marowak ex Primeape","Pikachu ex Electrode","blueditto"
"8461","Deryl2010","5","LOSS","tyranitarrocks10",NA,"2-3-0drop","Articuno ex Farfetch'd","Exeggutor ex Pidgeot","blueditto"
"8471","Deryl2010","4","LOSS","Gonzalo Reyes",NA,"4-5-0","Articuno ex Farfetch'd","Zapdos ex Dragonite","blueditto"
"8481","Deryl2010","3","LOSS","태환 곽",NA,"2-3-0drop","Articuno ex Farfetch'd","Mewtwo ex Gardevoir","blueditto"
"8491","Deryl2010","2","LOSS","MiniLordesushi",NA,"3-3-0drop","Articuno ex Farfetch'd","Articuno ex","blueditto"
"8501","Deryl2010","1","LOSS","MaquinaGLS",NA,"7-3-0","Articuno ex Farfetch'd","Mewtwo ex Gardevoir","blueditto"
"8511","glione","2","LOSS","Maka",NA,"6-3-0","Arbok Weezing","Pikachu ex Zebstrika","blueditto"
"8521","glione","1","LOSS","Jabs",NA,"1-3-0drop","Arbok Weezing","Marowak ex Primeape","blueditto"
"8531","Treinadudrys","2","LOSS","littledarkfury",NA,"4-3-0drop","Exeggutor ex Venusaur ex","Wigglytuff ex Weezing","blueditto"
"8541","Treinadudrys","1","LOSS","Veratis08",NA,"1-2-0drop","Exeggutor ex Venusaur ex","Pikachu ex Zebstrika","blueditto"
"8551","Benjamin Merritt","1","LOSS","mrtawsiti3",NA,"4-5-0","Pikachu ex Raichu","Pikachu ex Electrode","blueditto"
"8571","Samsyh","3","LOSS","tyranitarrocks10",NA,"2-3-0drop","Mewtwo ex Gardevoir","Exeggutor ex Pidgeot","blueditto"
"8581","Samsyh","2","LOSS","Alloutblitzle",NA,"3-4-0drop","Mewtwo ex Gardevoir","Alakazam Weezing","blueditto"
"8591","Samsyh","1","LOSS","Artheek",NA,"6-3-0","Mewtwo ex Gardevoir","Articuno ex Starmie ex","blueditto"
"8601","karbygamer","1","LOSS","bwebbuva",NA,"3-4-0drop","Exeggutor ex Beedrill","Charizard ex Moltres ex","blueditto"
"8621","Azul","3","LOSS","MINGYULEE",NA,"5-4-0","Blastoise ex","Charizard ex Moltres ex","blueditto"
"8631","Azul","2","LOSS","Curupira",NA,"2-3-0drop","Blastoise ex","Pikachu ex Zebstrika","blueditto"
"8641","Azul","1","LOSS","jaHNI",NA,"4-4-0drop","Blastoise ex","Mewtwo ex Gardevoir","blueditto"
"8651","boltup24","2","LOSS","Waldmann",NA,"1-2-0drop","Mewtwo ex Gardevoir","Marowak ex Sandslash","blueditto"
"8661","boltup24","1","LOSS","GloriWasHere",NA,"1-1-0drop","Mewtwo ex Gardevoir","Articuno ex Greninja","blueditto"
"8671","Martinezn3114","4","LOSS","lmc131121",NA,"4-5-0","Arbok Pidgeot","Dragonite Snorlax","blueditto"
"8681","Martinezn3114","3","LOSS","Thiheen",NA,"5-4-0","Arbok Pidgeot","Arbok Pidgeot","blueditto"
"8691","Martinezn3114","2","LOSS","Tinleigh Collins",NA,"2-3-0drop","Arbok Pidgeot","Lapras ex","blueditto"
"8701","Martinezn3114","1","LOSS","matex_kid",NA,"1-3-0drop","Arbok Pidgeot","Articuno ex Starmie ex","blueditto"
"8711","Filantropo","2","LOSS","KoNoRd",NA,"1-3-0drop","Dugtrio Kabutops","Charizard ex Moltres ex","blueditto"
"8721","Filantropo","1","LOSS","ttvStrawhat",NA,"5-4-0","Dugtrio Kabutops","Pikachu ex Zapdos ex","blueditto"
"8731","Henry M","1","LOSS","Lulu",NA,"2-3-0drop","Charizard ex Charizard","Mewtwo ex Gardevoir","blueditto"
"8741","Astorgames","1","LOSS","BelafuVGC",NA,"2-3-0drop","Pikachu ex Electrode","Venusaur ex Caterpie","blueditto"
"8751","LuizLeon","1","LOSS","Phantomclan564",NA,"2-3-0drop","Charizard ex Moltres ex","Articuno ex Starmie ex","blueditto"
"8761","tilti1","1","LOSS","poyo",NA,"3-5-0drop","Marowak ex Sandslash","Mewtwo ex Gardevoir","blueditto"
"8771","Rami94","2","LOSS","Mowbes",NA,"1-3-0drop","Articuno ex Greninja","Pikachu ex Zebstrika","blueditto"
"8781","Rami94","1","LOSS","Wagyu",NA,"1-1-0drop","Articuno ex Greninja","Articuno ex Starmie ex","blueditto"
"8791","sleygz","1","LOSS","ShayminFan",NA,"2-4-0drop","Mewtwo ex Gardevoir","Arcanine ex Charizard ex","blueditto"
"8801","Jason B","1","LOSS","Slammmm",NA,"3-6-0","Venusaur ex Kangaskhan","Greninja Hypno","blueditto"
"8811","Polygondx","1","LOSS","Deomsy",NA,"1-2-0drop","Pikachu ex Zebstrika","Arbok Pidgeot","blueditto"
"8821","Arthur Mesquita","1","LOSS","AaronFreckz",NA,"1-2-0drop","Arbok Weezing","Pikachu ex Zapdos ex","blueditto"
"8831","Coreia","2","LOSS","KKOYOUHENRYS",NA,"2-4-0drop","Arbok Weezing","Exeggutor ex Wigglytuff ex","blueditto"
"8851","HeQun","1","LOSS","wtpk14",NA,"1-2-0drop","Mewtwo ex Gardevoir","Marowak ex Primeape","blueditto"
"8861","Savid400","1","LOSS","Alex A",NA,"1-2-0drop","Arbok Pidgeot","Pikachu ex Zebstrika","blueditto"
"8871","hopkins1021","4","LOSS","Redchicken",NA,"1-4-0drop","Articuno ex","Exeggutor ex Gardevoir","blueditto"
"8881","hopkins1021","3","LOSS","Omar787",NA,"2-3-0drop","Articuno ex","Pikachu ex Raichu","blueditto"
"8941","Bankshotbob","9","LOSS","Pingu_Tsai",NA,"6-3-0","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex","blueditto"
"8951","Bankshotbob","8","LOSS","Josh Frink",NA,"6-3-0","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","blueditto"
"8961","Bankshotbob","7","WIN","owntempo",NA,"4-3-0drop","Mewtwo ex Gardevoir","Heatmor Ninetales","blueditto"
"8971","Bankshotbob","6","WIN","ttvStrawhat",NA,"5-4-0","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex","blueditto"
"8981","Bankshotbob","5","WIN","massko",NA,"2-4-0drop","Mewtwo ex Gardevoir","Pikachu ex Electrode","blueditto"
"8991","Bankshotbob","4","LOSS","KH3PRI",NA,"3-3-0drop","Mewtwo ex Gardevoir","Pikachu ex Electrode","blueditto"
"9001","Bankshotbob","3","WIN","BabyEatingBaby",NA,"1-2-0drop","Mewtwo ex Gardevoir","Articuno ex Greninja","blueditto"
"9011","Bankshotbob","2","LOSS","FreckZ",NA,"4-3-0drop","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex","blueditto"
"9021","Bankshotbob","1","WIN","Tinleigh Collins",NA,"2-3-0drop","Mewtwo ex Gardevoir","Lapras ex","blueditto"
"2172","es602howtolose","9","WIN","Mikers",NA,"8-3-0","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","legendsleague6"
"3172","es602howtolose","8","WIN","nice2meatyou",NA,"8-3-0","Mewtwo ex Gardevoir","Pikachu ex Electrode","legendsleague6"
"4102","es602howtolose","7","WIN","fatalZero",NA,"6-3-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","legendsleague6"
"5102","es602howtolose","6","WIN","SKY_SkyWolf93",NA,"5-3-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","legendsleague6"
"6100","es602howtolose","5","WIN","Krohnos",NA,"5-5-0drop","Mewtwo ex Gardevoir","Marowak ex Sandslash","legendsleague6"
"7102","es602howtolose","4","WIN","Starrydawn903",NA,"7-3-0","Mewtwo ex Gardevoir","Pikachu ex Raichu","legendsleague6"
"8102","es602howtolose","3","WIN","JJH",NA,"2-3-0drop","Mewtwo ex Gardevoir","Pikachu ex Jolteon","legendsleague6"
"9100","es602howtolose","2","WIN","Theokeles",NA,"2-2-0drop","Mewtwo ex Gardevoir","Lapras ex Starmie ex","legendsleague6"
"10100","es602howtolose","1","WIN","Smogmog",NA,"0-1-0drop","Mewtwo ex Gardevoir","Charizard ex Moltres ex","legendsleague6"
"11100","Tauros","10","WIN","CJ69420",NA,"7-3-0drop","Arcanine ex Moltres ex","Mewtwo ex Gardevoir","legendsleague6"
"12100","Tauros","9","WIN","Nuggie_D",NA,"6-4-0","Arcanine ex Moltres ex","Zapdos ex Golbat","legendsleague6"
"13100","Tauros","8","LOSS","CK_Underwear",NA,"7-3-0","Arcanine ex Moltres ex","Articuno ex Starmie ex","legendsleague6"
"14100","Tauros","7","WIN","ZZZ",NA,"5-5-0","Arcanine ex Moltres ex","Pikachu ex Electrode","legendsleague6"
"15100","Tauros","6","WIN","Polyd",NA,"4-3-0drop","Arcanine ex Moltres ex","Charizard ex Moltres ex","legendsleague6"
"16100","Tauros","5","WIN","shovelclaws",NA,"3-5-0drop","Arcanine ex Moltres ex","Pikachu ex Zebstrika","legendsleague6"
"17101","Tauros","4","LOSS","LinderztwKING",NA,"7-3-0","Arcanine ex Moltres ex","Mewtwo ex Gardevoir","legendsleague6"
"1885","Tauros","3","WIN","Charles970327",NA,"2-4-0drop","Arcanine ex Moltres ex","Arbok Weezing","legendsleague6"
"1952","Tauros","2","WIN","poyo",NA,"5-3-0drop","Arcanine ex Moltres ex","Pikachu ex Electrode","legendsleague6"
"2022","Tauros","1","WIN","santymcgoob",NA,"9-3-0","Arcanine ex Moltres ex","Pikachu ex Zebstrika","legendsleague6"
"2185","Goomy35","10","WIN","nice2meatyou",NA,"8-3-0","Mewtwo ex Gardevoir","Pikachu ex Electrode","legendsleague6"
"22100","Goomy35","9","WIN","Drayke",NA,"11-3-0","Mewtwo ex Gardevoir","Pikachu ex Electrode","legendsleague6"
"2332","Goomy35","8","WIN","Kuriank",NA,"10-3-0","Mewtwo ex Gardevoir","Arbok Weezing","legendsleague6"
"2414","Goomy35","7","WIN","Ant ",NA,"6-4-0","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","legendsleague6"
"2595","Goomy35","6","WIN","maims123",NA,"4-2-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","legendsleague6"
"2628","Goomy35","5","WIN","JGS",NA,"3-2-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","legendsleague6"
"2754","Goomy35","4","WIN","Coreia",NA,"3-3-0drop","Mewtwo ex Gardevoir","Marowak ex Primeape","legendsleague6"
"2829","Goomy35","3","LOSS","TrebDoggo",NA,"7-3-0","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","legendsleague6"
"2920","Goomy35","2","WIN","JudgeHolden",NA,"1-3-0drop","Mewtwo ex Gardevoir","Pikachu ex Electrode","legendsleague6"
"3076","Goomy35","1","WIN","alfredo valenti",NA,"0-3-0drop","Mewtwo ex Gardevoir","Pikachu ex Electrode","legendsleague6"
"3190","Drayke","10","WIN","BigBoySnap",NA,"7-3-0","Pikachu ex Electrode","Charizard ex Moltres ex","legendsleague6"
"3212","Drayke","9","LOSS","Goomy35",NA,"12-2-0","Pikachu ex Electrode","Mewtwo ex Gardevoir","legendsleague6"
"3320","Drayke","8","WIN","KensaiPSY",NA,"6-2-0drop","Pikachu ex Electrode","Mewtwo ex Gardevoir","legendsleague6"
"3434","Drayke","7","WIN","Yehhey",NA,"8-3-0","Pikachu ex Electrode","Mewtwo ex Gardevoir","legendsleague6"
"3534","Drayke","6","LOSS","nice2meatyou",NA,"8-3-0","Pikachu ex Electrode","Pikachu ex Electrode","legendsleague6"
"3612","Drayke","5","WIN","birdie3936",NA,"7-3-0","Pikachu ex Electrode","Pikachu ex Zebstrika","legendsleague6"
"3712","Drayke","4","WIN","Brandon J",NA,"3-2-0drop","Pikachu ex Electrode","Mewtwo ex Gardevoir","legendsleague6"
"3812","Drayke","3","WIN","shaqdotcom",NA,"8-3-0","Pikachu ex Electrode","Pikachu ex Zebstrika","legendsleague6"
"3912","Drayke","2","WIN","Tenya",NA,"2-3-0drop","Pikachu ex Electrode","Pikachu ex Electrode","legendsleague6"
"4012","Drayke","1","WIN","migi",NA,"2-3-0drop","Pikachu ex Electrode","Mewtwo ex Gardevoir","legendsleague6"
"4112","Kuriank","10","WIN","G3TR1Gh7",NA,"7-3-0","Arbok Weezing","Pikachu ex Zapdos ex","legendsleague6"
"4212","Kuriank","9","WIN","NinoEx",NA,"7-3-0drop","Arbok Weezing","Mewtwo ex Gardevoir","legendsleague6"
"4312","Kuriank","8","LOSS","Goomy35",NA,"12-2-0","Arbok Weezing","Mewtwo ex Gardevoir","legendsleague6"
"4412","Kuriank","7","WIN","SKY_SkyWolf93",NA,"5-3-0drop","Arbok Weezing","Mewtwo ex Gardevoir","legendsleague6"
"4512","Kuriank","6","WIN","Nikkiboy",NA,"5-3-0drop","Arbok Weezing","Mewtwo ex Gardevoir","legendsleague6"
"4610","Kuriank","5","WIN","Ruberi22",NA,"6-4-0","Arbok Weezing","Charizard ex Moltres ex","legendsleague6"
"4712","Kuriank","4","LOSS","Bodaum22",NA,"4-0-0drop","Arbok Weezing","Primeape Sandslash","legendsleague6"
"4812","Kuriank","3","WIN","Nuggie_D",NA,"6-4-0","Arbok Weezing","Zapdos ex Golbat","legendsleague6"
"4912","Kuriank","2","WIN","OhSnap",NA,"1-2-0drop","Arbok Weezing","Mewtwo ex Gardevoir","legendsleague6"
"5012","Kuriank","1","WIN","monkykap",NA,"1-2-0drop","Arbok Weezing","Pikachu ex Electrode","legendsleague6"
"5112","glione","10","LOSS","Amthenew",NA,"10-2-0","Pikachu ex Zebstrika","Pikachu ex Zebstrika","legendsleague6"
"5212","glione","9","WIN","G3TR1Gh7",NA,"7-3-0","Pikachu ex Zebstrika","Pikachu ex Zapdos ex","legendsleague6"
"5312","glione","8","WIN","fatalZero",NA,"6-3-0drop","Pikachu ex Zebstrika","Mewtwo ex Gardevoir","legendsleague6"
"5412","glione","7","LOSS","TrebDoggo",NA,"7-3-0","Pikachu ex Zebstrika","Pikachu ex Zebstrika","legendsleague6"
"5510","glione","6","WIN","Jose091",NA,"7-3-0","Pikachu ex Zebstrika","Ninetales Rapidash","legendsleague6"
"5612","glione","5","WIN","PakBas",NA,"6-3-0drop","Pikachu ex Zebstrika","Pikachu ex Zapdos ex","legendsleague6"
"5712","glione","4","WIN","Anomi",NA,"6-4-0drop","Pikachu ex Zebstrika","Mewtwo ex Gardevoir","legendsleague6"
"5812","glione","3","WIN","James Arnold",NA,"2-1-0drop","Pikachu ex Zebstrika","Mewtwo ex Gardevoir","legendsleague6"
"5911","glione","2","WIN","Hidayattou",NA,"1-3-0drop","Pikachu ex Zebstrika","Mewtwo ex Gardevoir","legendsleague6"
"6012","glione","1","WIN","onomimono",NA,"2-2-0drop","Pikachu ex Zebstrika","Pikachu ex Zebstrika","legendsleague6"
"6112","Floraaa","10","WIN","FlyAsAFlygon",NA,"7-3-0","Pikachu ex Raichu","Pikachu ex Electrode","legendsleague6"
"6212","Floraaa","9","WIN","malang_noshi",NA,"6-3-0drop","Pikachu ex Raichu","Pikachu ex Electrode","legendsleague6"
"6312","Floraaa","8","WIN","volinator",NA,"5-5-0drop","Pikachu ex Raichu","Mewtwo ex Gardevoir","legendsleague6"
"6410","Floraaa","7","WIN","Pingu_Tsai",NA,"4-3-0drop","Pikachu ex Raichu","Pikachu ex Zapdos ex","legendsleague6"
"6512","Floraaa","6","LOSS","pxe778",NA,"6-3-0drop","Pikachu ex Raichu","Pikachu ex Electrode","legendsleague6"
"6612","Floraaa","5","LOSS","Mikers",NA,"8-3-0","Pikachu ex Raichu","Mewtwo ex Gardevoir","legendsleague6"
"6712","Floraaa","4","WIN","MochaLatte",NA,"7-3-0drop","Pikachu ex Raichu","Pikachu ex Zebstrika","legendsleague6"
"6812","Floraaa","3","WIN","Shirotori",NA,"3-4-0drop","Pikachu ex Raichu","Charizard ex Moltres ex","legendsleague6"
"6912","Floraaa","2","WIN","Mignon",NA,"5-3-0drop","Pikachu ex Raichu","Mewtwo ex Gardevoir","legendsleague6"
"7011","Floraaa","1","WIN","DrEAldanaJ",NA,"0-3-0drop","Pikachu ex Raichu","Mewtwo ex Gardevoir","legendsleague6"
"7112","PONATIC","10","WIN","Tobimaro",NA,"7-3-0","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex","legendsleague6"
"7212","PONATIC","9","WIN","Pish",NA,"6-3-1drop","Mewtwo ex Gardevoir","Pikachu ex Electrode","legendsleague6"
"7312","PONATIC","8","WIN","AzeL",NA,"7-3-0","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","legendsleague6"
"7412","PONATIC","7","WIN","FreckZ",NA,"4-4-0drop","Mewtwo ex Gardevoir","Pikachu ex Zapdos ex","legendsleague6"
"7511","PONATIC","6","WIN","PANCA",NA,"3-5-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","legendsleague6"
"7612","PONATIC","5","LOSS","haito",NA,"5-2-0drop","Mewtwo ex Gardevoir","Pikachu ex Raichu","legendsleague6"
"7712","PONATIC","4","WIN","maxacolletti",NA,"2-3-0drop","Mewtwo ex Gardevoir","Arbok Pidgeot","legendsleague6"
"7812","PONATIC","3","WIN","alejandritorneitos",NA,"3-2-0drop","Mewtwo ex Gardevoir","Charizard ex Moltres ex","legendsleague6"
"7912","PONATIC","2","WIN","FFlacoo",NA,"0-3-0drop","Mewtwo ex Gardevoir","Electrode Zebstrika","legendsleague6"
"8012","PONATIC","1","LOSS","shaqdotcom",NA,"8-3-0","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","legendsleague6"
"8112","Endrance","10","WIN","Mikers",NA,"8-3-0","Pikachu ex Zebstrika","Mewtwo ex Gardevoir","legendsleague6"
"8212","Endrance","9","WIN","CK_Underwear",NA,"7-3-0","Pikachu ex Zebstrika","Articuno ex Starmie ex","legendsleague6"
"8312","Endrance","8","WIN","Banter",NA,"8-3-0","Pikachu ex Zebstrika","Arbok Weezing","legendsleague6"
"8411","Endrance","7","WIN","santymcgoob",NA,"9-3-0","Pikachu ex Zebstrika","Pikachu ex Zebstrika","legendsleague6"
"8512","Endrance","6","WIN","kiiiichi08",NA,"4-2-0drop","Pikachu ex Zebstrika","Pikachu ex Raichu","legendsleague6"
"8611","Endrance","5","LOSS","nice2meatyou",NA,"8-3-0","Pikachu ex Zebstrika","Pikachu ex Electrode","legendsleague6"
"8712","Endrance","4","WIN","Harus",NA,"3-1-0drop","Pikachu ex Zebstrika","Pikachu ex Electrode","legendsleague6"
"8812","Endrance","3","WIN","sahbrant1",NA,"2-1-0drop","Pikachu ex Zebstrika","Arbok Weezing","legendsleague6"
"8911","Endrance","2","WIN","Tuelhossauro",NA,"4-6-0","Pikachu ex Zebstrika","Ninetales Rapidash","legendsleague6"
"9012","Endrance","1","WIN","Hunschback",NA,"0-1-0drop","Pikachu ex Zebstrika","Mewtwo ex Gardevoir","legendsleague6"
"9110","Amthenew","10","WIN","glione",NA,"10-3-0","Pikachu ex Zebstrika","Pikachu ex Zebstrika","legendsleague6"
"9211","Amthenew","9","WIN","Tobimaro",NA,"7-3-0","Pikachu ex Zebstrika","Pikachu ex Zapdos ex","legendsleague6"
"9310","Amthenew","8","WIN","windupbirdMitya",NA,"9-3-0","Pikachu ex Zebstrika","Machamp ex Marowak ex","legendsleague6"
"9410","Amthenew","7","WIN","MugiGust",NA,"6-4-0","Pikachu ex Zebstrika","Pikachu ex Zapdos ex","legendsleague6"
"9511","Amthenew","6","WIN","NinoEx",NA,"7-3-0drop","Pikachu ex Zebstrika","Mewtwo ex Gardevoir","legendsleague6"
"9611","Amthenew","5","LOSS","SKY_SkyWolf93",NA,"5-3-0drop","Pikachu ex Zebstrika","Mewtwo ex Gardevoir","legendsleague6"
"9711","Amthenew","4","WIN","Nikkiboy",NA,"5-3-0drop","Pikachu ex Zebstrika","Mewtwo ex Gardevoir","legendsleague6"
"9811","Amthenew","3","WIN","haito",NA,"5-2-0drop","Pikachu ex Zebstrika","Pikachu ex Raichu","legendsleague6"
"9911","Amthenew","2","WIN","xSpitty",NA,"1-2-0drop","Pikachu ex Zebstrika","Charizard ex Moltres ex","legendsleague6"
"10010","Amthenew","1","WIN","Evster",NA,"3-5-0drop","Pikachu ex Zebstrika","Exeggutor ex Venusaur ex","legendsleague6"
"10110","Mainstaytay","10","WIN","Calixe",NA,"8-3-0","Pikachu ex Zapdos ex","Pikachu ex Electrode","legendsleague6"
"10211","Mainstaytay","9","WIN","renta",NA,"7-3-0","Pikachu ex Zapdos ex","Pikachu ex Zapdos ex","legendsleague6"
"10311","Mainstaytay","8","WIN","izana2547z",NA,"7-3-0","Pikachu ex Zapdos ex","Pikachu ex Zebstrika","legendsleague6"
"10410","Mainstaytay","7","WIN","BigBoySnap",NA,"7-3-0","Pikachu ex Zapdos ex","Charizard ex Moltres ex","legendsleague6"
"10511","Mainstaytay","6","WIN","ThisisChris",NA,"4-5-0drop","Pikachu ex Zapdos ex","Mewtwo ex Gardevoir","legendsleague6"
"10610","Mainstaytay","5","WIN","bzkfoox",NA,"3-5-0drop","Pikachu ex Zapdos ex","Pikachu ex Electrode","legendsleague6"
"10710","Mainstaytay","4","WIN","Bonez",NA,"3-3-0drop","Pikachu ex Zapdos ex","Charizard ex Moltres ex","legendsleague6"
"10811","Mainstaytay","3","WIN","Zh0ngli",NA,"2-4-0drop","Pikachu ex Zapdos ex","Pikachu ex Zebstrika","legendsleague6"
"10910","Mainstaytay","2","WIN","Jorgesarce",NA,"0-3-0drop","Pikachu ex Zapdos ex","Venusaur ex Lilligant","legendsleague6"
"11011","Mainstaytay","1","LOSS","Ba11isticmonkey",NA,"5-4-0drop","Pikachu ex Zapdos ex","Pikachu ex Zebstrika","legendsleague6"
"11211","protein bar eater","9","WIN","RaveAndGuts",NA,"8-3-0","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","legendsleague6"
"11311","protein bar eater","8","WIN","Polygondx",NA,"9-3-0","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","legendsleague6"
"11411","protein bar eater","7","WIN","haito",NA,"5-2-0drop","Mewtwo ex Gardevoir","Pikachu ex Raichu","legendsleague6"
"11511","protein bar eater","6","WIN","NE",NA,"4-2-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","legendsleague6"
"11611","protein bar eater","5","WIN","pikapikachu1989",NA,"3-5-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","legendsleague6"
"11711","protein bar eater","4","WIN","Ryugamine22",NA,"3-4-0drop","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","legendsleague6"
"11810","protein bar eater","3","LOSS","gemugemuno",NA,"7-3-0","Mewtwo ex Gardevoir","Mewtwo ex Gardevoir","legendsleague6"
"11911","protein bar eater","2","WIN","Zeville",NA,"5-5-0drop","Mewtwo ex Gardevoir","Pikachu ex Zebstrika","legendsleague6"
